time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
0.005000,nan,0.000261,0.000000
0.010000,0.169616,0.036695,0.000003
0.015000,nan,0.034639,0.000003
0.020000,-0.175517,-0.005102,-0.000001
0.025000,nan,-0.004961,-0.000012
0.030000,-0.000679,-0.004882,-0.000025
0.035000,nan,-0.006549,-0.000037
0.040000,0.021181,-0.002342,-0.000049
0.045000,nan,-0.001671,-0.000059
0.050000,0.017048,-0.000009,-0.000067
0.055000,nan,0.001718,-0.000068
0.060000,-0.127871,-0.015575,-0.000059
0.065000,nan,-0.018419,-0.000043
0.070000,0.030590,-0.012493,-0.000017
0.075000,nan,-0.010335,0.000020
0.080000,0.147537,0.007009,0.000062
0.085000,nan,0.010623,0.000103
0.090000,0.147435,0.026658,0.000140
0.095000,nan,0.025870,0.000173
0.100000,0.084094,0.031314,0.000205
0.105000,nan,0.031403,0.000238
0.110000,-0.057427,0.020642,0.000272
0.115000,nan,0.020953,0.000309
0.120000,-0.058338,0.013416,0.000350
0.125000,nan,0.015223,0.000396
0.130000,0.051045,0.019263,0.000445
0.135000,nan,0.016123,0.000501
0.140000,0.103534,0.026022,0.000562
0.145000,nan,0.024092,0.000619
0.150000,0.022679,0.023313,0.000673
0.155000,nan,0.020490,0.000720
0.160000,-0.116101,0.007573,0.000760
0.165000,nan,0.007132,0.000795
0.170000,0.059575,0.013427,0.000825
0.175000,nan,0.013126,0.000852
0.180000,0.106602,0.021869,0.000876
0.185000,nan,0.018882,0.000899
0.190000,0.013794,0.016552,0.000925
0.195000,nan,0.015972,0.000951
0.200000,-0.080617,0.006994,0.000980
0.205000,nan,0.007192,0.001012
0.210000,-0.103247,-0.003357,0.001046
0.215000,nan,-0.004504,0.001082
0.220000,-0.043703,-0.009135,0.001120
0.225000,nan,-0.007041,0.001161
0.230000,0.067668,0.000622,0.001205
0.235000,nan,0.002099,0.001250
0.240000,-0.146372,-0.011760,0.001296
0.245000,nan,-0.008936,0.001341
0.250000,0.045966,-0.003218,0.001380
0.255000,nan,-0.008474,0.001414
0.260000,0.204729,0.009910,0.001446
0.265000,nan,0.011842,0.001476
0.270000,-0.024866,0.011410,0.001500
0.275000,nan,0.012066,0.001521
0.280000,-0.075014,0.004259,0.001539
0.285000,nan,0.004039,0.001556
0.290000,-0.021273,0.001666,0.001572
0.295000,nan,0.001956,0.001586
0.300000,-0.035616,-0.000395,0.001599
0.305000,nan,0.001952,0.001609
0.310000,-0.126247,-0.010689,0.001617
0.314999,nan,-0.010013,0.001624
0.319999,0.147640,0.005756,0.001631
0.324999,nan,0.007286,0.001638
0.329999,0.075250,0.012442,0.001643
0.334999,nan,0.013759,0.001650
0.339999,0.051754,0.017210,0.001658
0.344999,nan,0.016871,0.001667
0.349999,0.003879,0.014460,0.001674
0.354999,nan,0.013609,0.001678
0.359999,-0.061368,0.006974,0.001681
0.364999,nan,0.006091,0.001685
0.369999,-0.049034,0.002135,0.001688
0.374999,nan,0.000581,0.001691
0.379999,0.203139,0.019859,0.001696
0.384999,nan,0.018702,0.001702
0.389999,0.019989,0.021505,0.001707
0.394998,nan,0.018249,0.001712
0.399998,0.077515,0.020805,0.001715
0.404998,nan,0.023343,0.001715
0.409998,-0.046239,0.017619,0.001711
0.414998,nan,0.019483,0.001700
0.419998,-0.009596,0.015468,0.001682
0.424998,nan,0.016457,0.001657
0.429998,-0.265061,-0.010921,0.001628
0.434998,nan,-0.012412,0.001597
0.439998,0.014377,-0.009163,0.001568
0.444998,nan,-0.008922,0.001542
0.449998,-0.147037,-0.022290,0.001520
0.454998,nan,-0.024668,0.001499
0.459998,0.034410,-0.019742,0.001477
0.464998,nan,-0.020791,0.001451
0.469997,0.222188,0.005136,0.001420
0.474997,nan,0.007996,0.001388
0.479997,-0.310924,-0.022161,0.001360
0.484997,nan,-0.021207,0.001341
0.489997,0.075389,-0.011087,0.001328
0.494997,nan,-0.007914,0.001324
0.499997,-0.151038,-0.021262,0.001329
0.504997,nan,-0.022255,0.001341
0.509997,0.178624,-0.004325,0.001358
0.514997,nan,-0.006715,0.001379
0.519997,-0.006128,-0.008187,0.001403
0.524997,nan,-0.009454,0.001427
0.529997,-0.007477,-0.008646,0.001449
0.534997,nan,-0.007348,0.001465
0.539997,0.062960,0.000821,0.001475
0.544997,nan,-0.000047,0.001478
0.549996,0.141715,0.013062,0.001481
0.554996,nan,0.010901,0.001486
0.559996,-0.095053,0.000508,0.001486
0.564996,nan,0.000469,0.001477
0.569996,0.162634,0.017155,0.001459
0.574996,nan,0.019971,0.001433
0.579996,0.002073,0.017797,0.001405
0.584996,nan,0.016520,0.001378
0.589996,0.021473,0.016165,0.001354
0.594996,nan,0.014038,0.001333
0.599996,0.100280,0.023371,0.001317
0.604996,nan,0.022883,0.001304
0.609996,0.034053,0.025056,0.001292
0.614996,nan,0.024997,0.001279
0.619996,-0.166369,0.004304,0.001264
0.624996,nan,0.002133,0.001245
0.629995,-0.135863,-0.011892,0.001227
0.634995,nan,-0.013887,0.001213
0.639995,0.035392,-0.010512,0.001204
0.644995,nan,-0.010414,0.001200
0.649995,-0.029596,-0.015631,0.001201
0.654995,nan,-0.016016,0.001208
0.659995,-0.012160,-0.013676,0.001217
0.664995,nan,-0.011667,0.001226
0.669995,0.073396,-0.003878,0.001239
0.674995,nan,-0.006585,0.001258
0.679995,-0.129889,-0.017410,0.001284
0.684995,nan,-0.017279,0.001315
0.689995,0.102371,-0.006688,0.001350
0.694995,nan,-0.006120,0.001385
0.699995,0.270585,0.019097,0.001417
0.704994,nan,0.021528,0.001447
0.709994,0.051155,0.023758,0.001475
0.714994,nan,0.024212,0.001497
0.719994,-0.131909,0.009988,0.001512
0.724994,nan,0.011533,0.001521
0.729994,-0.041946,0.002709,0.001526
0.734994,nan,0.006378,0.001528
0.739994,0.049872,0.010030,0.001528
0.744994,nan,0.009155,0.001528
0.749994,-0.007304,0.008438,0.001527
0.754994,nan,0.010924,0.001530
0.759994,-0.002184,0.008937,0.001538
0.764994,nan,0.008638,0.001547
0.769994,0.039937,0.013518,0.001555
0.774994,nan,0.014413,0.001561
0.779994,-0.013385,0.012480,0.001568
0.784993,nan,0.010584,0.001580
0.789993,-0.042353,0.003966,0.001598
0.794993,nan,0.004833,0.001623
0.799993,-0.128886,-0.007501,0.001650
0.804993,nan,-0.005188,0.001674
0.809993,0.001010,-0.003221,0.001695
0.814993,nan,-0.005015,0.001710
0.819993,-0.167277,-0.022450,0.001723
0.824993,nan,-0.018659,0.001727
0.829993,-0.145587,-0.032316,0.001726
0.834993,nan,-0.035257,0.001720
0.839993,-0.041951,-0.035228,0.001712
0.844993,nan,-0.035651,0.001702
0.849993,-0.069685,-0.042236,0.001695
0.854993,nan,-0.041825,0.001685
0.859993,0.024019,-0.035361,0.001673
0.864992,nan,-0.036926,0.001658
0.869992,-0.037489,-0.037216,0.001646
