time, Quad1.Est.S.Yaw, Quad1.Est.Yaw, Quad1.Yaw, Quad1.Ref.Yaw
0.005000,0.050000,0.000000,-0.000000,0.012560
0.010000,0.050000,0.000000,-0.000001,0.025120
0.015000,0.050000,0.000000,-0.000002,0.043960
0.020000,0.050000,0.000000,-0.000006,0.056520
0.025000,0.050000,0.000000,-0.000006,0.075360
0.030000,0.050000,0.000000,0.000024,0.087920
0.035000,0.050000,0.000000,0.000109,0.106760
0.040000,0.050000,0.000000,0.000300,0.119320
0.045000,0.050000,0.000000,0.000668,0.138160
0.050000,0.050000,0.000000,0.001261,0.150720
0.055000,0.050000,0.000000,0.002101,0.169560
0.060000,0.050000,0.000000,0.003229,0.182120
0.065000,0.050000,0.000000,0.004671,0.200960
0.070000,0.050000,0.000000,0.006425,0.213520
0.075000,0.050000,0.000000,0.008435,0.232360
0.080000,0.050000,0.000000,0.010556,0.244920
0.085000,0.050000,0.000000,0.012570,0.263760
0.090000,0.050000,0.000000,0.014215,0.276320
0.095000,0.050000,0.000000,0.015292,0.295160
0.100000,0.050000,0.000000,0.015669,0.307720
0.105000,0.050000,0.000000,0.015346,0.326560
0.110000,0.050000,0.000000,0.014445,0.339120
0.115000,0.050000,0.000000,0.013122,0.357960
0.120000,0.050000,0.000000,0.011577,0.370520
0.125000,0.050000,0.000000,0.010050,0.389360
0.130000,0.050000,0.000000,0.008724,0.401920
0.135000,0.050000,0.000000,0.007766,0.420760
0.140000,0.050000,0.000000,0.007329,0.433320
0.145000,0.050000,0.000000,0.007518,0.452160
0.150000,0.050000,0.000000,0.008312,0.464720
0.155000,0.050000,0.000000,0.009657,0.483560
0.160000,0.050000,0.000000,0.011471,0.496120
0.165000,0.050000,0.000000,0.013693,0.514960
0.170000,0.050000,0.000000,0.016259,0.527520
0.175000,0.050000,0.000000,0.019047,0.546361
0.180000,0.050000,0.000000,0.021959,0.558921
0.185000,0.050000,0.000000,0.024895,0.577761
0.190000,0.050000,0.000000,0.027851,0.590321
0.195000,0.050000,0.000000,0.030948,0.609161
0.200000,0.050000,0.000000,0.034345,0.621721
0.205000,0.050000,0.000000,0.038215,0.640561
0.210000,0.050000,0.000000,0.042630,0.653121
0.215000,0.050000,0.000000,0.047583,0.671961
